Problem:    knapsack
Rows:       2
Columns:    275 (275 integer, 275 binary)
Non-zeros:  550
Status:     INTEGER OPTIMAL
Objective:  lucro = 457 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 lucro                     457                             
     2 capacidade                312                         312 

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[1]         *              0             0             1 
     2 x[2]         *              0             0             1 
     3 x[3]         *              1             0             1 
     4 x[4]         *              0             0             1 
     5 x[5]         *              1             0             1 
     6 x[6]         *              1             0             1 
     7 x[7]         *              1             0             1 
     8 x[8]         *              0             0             1 
     9 x[9]         *              0             0             1 
    10 x[10]        *              0             0             1 
    11 x[11]        *              1             0             1 
    12 x[12]        *              0             0             1 
    13 x[13]        *              1             0             1 
    14 x[14]        *              1             0             1 
    15 x[15]        *              1             0             1 
    16 x[16]        *              0             0             1 
    17 x[17]        *              1             0             1 
    18 x[18]        *              0             0             1 
    19 x[19]        *              1             0             1 
    20 x[20]        *              1             0             1 
    21 x[21]        *              1             0             1 
    22 x[22]        *              0             0             1 
    23 x[23]        *              0             0             1 
    24 x[24]        *              0             0             1 
    25 x[25]        *              0             0             1 
    26 x[26]        *              0             0             1 
    27 x[27]        *              0             0             1 
    28 x[28]        *              1             0             1 
    29 x[29]        *              0             0             1 
    30 x[30]        *              1             0             1 
    31 x[31]        *              0             0             1 
    32 x[32]        *              1             0             1 
    33 x[33]        *              1             0             1 
    34 x[34]        *              0             0             1 
    35 x[35]        *              0             0             1 
    36 x[36]        *              1             0             1 
    37 x[37]        *              0             0             1 
    38 x[38]        *              1             0             1 
    39 x[39]        *              0             0             1 
    40 x[40]        *              0             0             1 
    41 x[41]        *              1             0             1 
    42 x[42]        *              1             0             1 
    43 x[43]        *              1             0             1 
    44 x[44]        *              0             0             1 
    45 x[45]        *              1             0             1 
    46 x[46]        *              0             0             1 
    47 x[47]        *              0             0             1 
    48 x[48]        *              1             0             1 
    49 x[49]        *              0             0             1 
    50 x[50]        *              0             0             1 
    51 x[51]        *              1             0             1 
    52 x[52]        *              1             0             1 
    53 x[53]        *              0             0             1 
    54 x[54]        *              0             0             1 
    55 x[55]        *              0             0             1 
    56 x[56]        *              0             0             1 
    57 x[57]        *              0             0             1 
    58 x[58]        *              1             0             1 
    59 x[59]        *              0             0             1 
    60 x[60]        *              0             0             1 
    61 x[61]        *              0             0             1 
    62 x[62]        *              0             0             1 
    63 x[63]        *              0             0             1 
    64 x[64]        *              1             0             1 
    65 x[65]        *              0             0             1 
    66 x[66]        *              1             0             1 
